Date,Price,Date2,Open,High,Low,Close price,Vol.,Change %,Column1,Volatility,Daily Volatility,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 09, 2020","2,747.75","Mar 09, 2020","2,916.00","2,916.00","2,715.00","2,747.75",2.67M,-7.30%,7.3%,$201.00,6.89%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 06, 2020","2,964.00","Mar 06, 2020","3,024.25","3,037.00","2,898.00","2,964.00",3.16M,-1.71%,1.7%,$139.00,4.60%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 05, 2020","3,015.50","Mar 05, 2020","3,109.25","3,113.75","2,996.50","3,015.50",2.81M,-3.19%,3.2%,$117.25,3.77%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 04, 2020","3,114.75","Mar 04, 2020","2,988.25","3,129.50","2,976.50","3,114.75",2.59M,3.93%,3.9%,$153.00,5.12%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 03, 2020","2,997.00","Mar 03, 2020","3,077.00","3,137.00","2,973.00","2,997.00",3.75M,-2.22%,2.2%,$164.00,5.33%,,,,,,,,,,,,,,,,,,,,,,,,
"Mar 02, 2020","3,065.00","Mar 02, 2020","2,900.00","3,093.25","2,889.25","3,065.00",3.69M,3.86%,3.9%,$204.00,7.03%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 28, 2020","2,951.00","Feb 28, 2020","2,950.00","2,996.00","2,853.25","2,951.00",5.72M,-0.20%,0.2%,$142.75,4.84%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 27, 2020","2,957.00","Feb 27, 2020","3,100.25","3,117.00","2,944.50","2,957.00",4.73M,-4.93%,4.9%,$172.50,5.56%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 26, 2020","3,110.25","Feb 26, 2020","3,138.00","3,182.00","3,091.00","3,110.25",3.89M,-0.71%,0.7%,$91.00,2.90%,,,,,,,,,,,,,,,,,,,,,,,,
"Feb 25, 2020","3,132.50","Feb 25, 2020","3,223.00","3,259.50","3,117.25","3,132.50",4.38M,-2.91%,2.9%,$142.25,4.41%,,,,,,,,,,,,,,,,,,,,,,,,
